"","Pollster","mean_net_clinton"
"1","ABC/Post",4
"2","ARG",0
"3","Bloomberg/Selzer",15
"4","CBS",6.125
"5","CBS/Times",6
"6","CNN",6.63636363636364
"7","Emerson College Polling Society",1.25
"8","FOX",4.41666666666667
"9","GQR (D-Democracy Corps/Women's Voices Women Vote)",13
"10","Gravis Marketing/OANN",-0.571428571428571
"11","Gravis Marketing/One America News",2
"12","GWU/Battleground",0.75
"13","IBD/TIPP",6.66666666666667
"14","Ipsos/Reuters",3.17948717948718
"15","McClatchy/Marist",10.1666666666667
"16","McLaughlin (R)",3
"17","Monmouth University",8
"18","Morning Consult",1.74766355140187
"19","MSNBC/Telemundo/Marist",8.125
"20","NBC/SurveyMonkey",6.09090909090909
"21","NBC/WSJ",9.375
"22","PPP (D)",4.625
"23","Quinnipiac",5.47727272727273
"24","Rasmussen",1.11111111111111
"25","Saint Leo University",11.5
"26","Schoen (D)",2
"27","Suffolk/USA Today",4.625
"28","SurveyUSA",-5
"29","YouGov/Economist",3.46428571428571
"30","Zogby (Internet)",3.66666666666667
